ITEM;ENTIDADE;UF;Regiao;ID_MUNICIPIO;Localizacao;nota_CN;tipo;scores;categoria;PE;DOUTORADO;MESTRADO;ESPECIALIZAÇÃO;SEM.QUALIFICAÇÃO
246;26132230;PE;Nordeste;2606002;Urbana;544,7;Regular;26,75963284;Básica;0,37;0;0;0;1
247;13038680;AM;Norte;1300508;Rural;469,5;Regular;26,82090424;Básica;0,73;0;0;0,55;0,45
248;21242615;MA;Nordeste;2105401;Rural;432,4;Regular;26,84339004;Básica;0,36;0;0;0;1
249;14001802;RR;Norte;1400100;Rural;469,9;Indígena;26,8471896;Básica;0,13;0;0;0;1
250;21263620;MA;Nordeste;2105989;Urbana;449,1;Regular;26,85024366;Básica;0,42;0;0;1;0
251;31353833;MG;Sudeste;3143302;Urbana;472,1;Regular;26,87420765;Básica;0,33;0;0;0;1
252;15054888;PA;Norte;1508209;Rural;422,5;Regular;26,87700986;Básica;0,43;0;1;0;0
253;21269823;MA;Nordeste;2108603;Rural;428,8;Regular;26,93542926;Básica;0,67;0;0;0;1
254;14001519;RR;Norte;1400100;Rural;468,4;Indígena;26,93566176;Básica;0,5;0;0;0;1
255;21335826;MA;Nordeste;2104081;Rural;441,8;Regular;26,95019412;Básica;0,44;0;0;0,38;0,63
256;50030760;MS;CO;5007901;Rural;463,4;Indígena;26,96949512;Básica;0,5;0;0;0;1
257;22134867;PI;Nordeste;2206803;Urbana;491,1;Regular;26,97402972;Básica;0,52;0;0;0,07;0,93
258;11049855;RO;Norte;1100338;Rural;443,2;Regular;27,00151051;Básica;0,67;0;0,25;0,75;0
259;23067268;CE;Nordeste;2304400;Urbana;466,2;Regular;27,01886519;Básica;0,67;0;0,4;0,5;0,1
260;23545445;CE;Nordeste;2306553;Rural;442,8;Regular;27,02793287;Básica;0,36;0;0;0;1
261;25022059;PB;Nordeste;2512606;Urbana;484,1;Regular;27,03362817;Básica;0,5;0;0;1;0
262;13083708;AM;Norte;1302603;Urbana;459,7;EJA;27,05324701;Básica;0,77;0;0;0,27;0,73
263;21037710;MA;Nordeste;2101004;Urbana;450,8;Regular;27,11212468;Básica;0,67;0;0;0;1
264;11041250;RO;Norte;1100049;Rural;439,5;Indígena;27,12104152;Básica;1;0;0;0;1
265;21021252;MA;Nordeste;2111300;Rural;436,7;Regular;27,14262669;Básica;0,93;0;0;0,14;0,86
266;21258740;MA;Nordeste;2102804;Rural;452,8;Regular;27,21601893;Básica;0,67;0;0;0,5;0,5
267;15160513;PA;Norte;1501907;Rural;450,6;Regular;27,21958272;Básica;0,47;0;0;1;0
268;27012620;AL;Nordeste;2703106;Rural;450,2;Regular;27,22372127;Básica;0,78;0;0;0,71;0,29
269;22077456;PI;Nordeste;2207603;Rural;433,9;Regular;27,24031905;Básica;1;0;0;0,33;0,67
270;52076008;GO;CO;5217609;Urbana;470,3;Regular;27,25076817;Básica;0,71;0;0;0;1
271;21004455;MA;Nordeste;2109056;Urbana;469,7;Regular;27,30877285;Básica;0,38;0;0;0;1
272;21259500;MA;Nordeste;2100154;Rural;463,1;Regular;27,38062842;Básica;1;0;0;0,5;0,5
273;22055380;PI;Nordeste;2205607;Urbana;520,4;Regular;27,4016023;Básica;0,39;0;0;0,29;0,71
274;35980158;SP;Sudeste;3509502;Urbana;452,5;Mediação;27,43134457;Básica;0,75;0;0,33;0;0,67
275;21259798;MA;Nordeste;2104404;Rural;462,3;Regular;27,45974416;Básica;0,43;0;0;0;1
276;26044862;PE;Nordeste;2600500;Urbana;481,4;Regular;27,4605533;Básica;0,11;0;0;0;1
277;31361674;MG;Sudeste;3157377;Rural;489,9;Regular;27,46886511;Básica;1;0;0;0;1
278;23545607;CE;Nordeste;2313203;Urbana;485,6;Profissionalizante;27,47604165;Básica;0,67;0;0;0,33;0,67
279;29464773;BA;Nordeste;2919553;Urbana;482,2;Regular;27,48008197;Básica;0,4;0;0;0;1
280;23163410;CE;Nordeste;2304202;Urbana;463,9;Regular;27,49212827;Básica;0,33;0;0,5;0;0,5
281;11026588;RO;Norte;1100049;Rural;385,4;Indígena;27,49395487;Básica;0,5;0;0;1;0
282;21382204;MA;Nordeste;2112803;Rural;435;Regular;27,50349554;Básica;1;0;0;0;1
283;14365677;RR;Norte;1400050;Rural;453,7;Regular;27,50494445;Básica;0,88;0;0;0;1
284;29459621;BA;Nordeste;2901304;Rural;445,9;Regular;27,51871833;Básica;0,33;0;0;1;0
285;16002237;AP;Norte;1600303;Rural;451,2;Regular;27,56698628;Básica;1;0;0,5;0,5;0
286;29327792;BA;Nordeste;2931350;Urbana;482;Regular;27,60968;Básica;0,2;0;0;1;0
287;21272212;MA;Nordeste;2104800;Urbana;478,3;Regular;27,6403725;Básica;0,67;0;0;0;1
288;25082949;PB;Nordeste;2513109;Rural;410,3;Regular;27,65577183;Básica;0,75;0;0;0;1
289;14002361;RR;Norte;1400175;Rural;490;Regular;27,65987048;Básica;1;0;0,33;0;0,67
290;21564663;MA;Nordeste;2105401;Rural;448,8;Regular;27,66043782;Básica;0,38;0;0;0;1
291;15054373;PA;Norte;1508209;Rural;512,4;Regular;27,70206899;Básica;0,67;0;0;1;0
292;12013595;AC;Norte;1200401;Rural;483,2;Regular;27,71400386;Básica;0,77;0;0;0;1
293;29024846;BA;Nordeste;2918407;Urbana;470,6;Regular;27,71430338;Básica;0,7;0;0;0,64;0,36
294;26078562;PE;Nordeste;2608602;Urbana;493,6;Regular;27,74119004;Básica;0,37;0;0;1;0
295;25089560;PB;Nordeste;2515005;Rural;439,2;Regular;27,77761389;Básica;0,5;0;0;0;1
296;25001302;PB;Nordeste;2514651;Urbana;491,4;Regular;27,78017323;Básica;0,83;0;0;0,5;0,5
297;22011145;PI;Nordeste;2208502;Urbana;399,1;Regular;27,82525647;Básica;0,37;0;0;0;1
298;22136711;PI;Nordeste;2201200;Urbana;477,5;Profissionalizante;27,86203924;Básica;0,88;0;0;0;1
299;52092143;GO;CO;5206206;Rural;461,9;Regular;27,86463334;Básica;0,5;0;0;0;1
300;43108202;RS;Sul;4314902;Urbana;511,8;Regular;27,88089282;Básica;0,67;0;0;0;1
301;22162615;PI;Nordeste;2207702;Rural;404,4;Regular;27,89895856;Básica;0,38;0;0;0;1
302;21383200;MA;Nordeste;2111763;Rural;483,8;Regular;27,91336509;Básica;0,22;0;0;1;0
303;22140360;PI;Nordeste;2211001;Rural;451,1;Regular;27,93420429;Básica;0,5;0;0;0;1
304;16001680;AP;Norte;1600253;Rural;427,9;Regular;27,95535701;Básica;0,33;0;0;0;1
305;26154803;PE;Nordeste;2612455;Urbana;471,4;Regular;27,97043557;Básica;0,54;0;0;0,21;0,79
306;31356735;MG;Sudeste;3162401;Rural;434,4;Regular;27,97205443;Básica;0,33;0;0;0;1
307;21017018;MA;Nordeste;2111300;Urbana;458,8;Regular;27,97362831;Básica;1;0;0;0,18;0,82
308;42129800;SC;Sul;4211751;Urbana;465,5;EJA;28,10836302;Básica;0,25;0;0;1;0
309;35576475;SP;Sudeste;3543402;Urbana;446,3;Regular;28,12160116;Básica;0,2;0;0;0;1
310;52053210;GO;CO;5211909;Urbana;462,1;Regular;28,13956932;Básica;0,59;0;0;0;1
311;29400220;BA;Nordeste;2927309;Urbana;474,8;Regular;28,16879065;Básica;0,16;0;0;0;1
312;29168775;BA;Nordeste;2920601;Rural;460,3;Regular;28,17579296;Básica;0,35;0;0;0;1
313;29461499;BA;Nordeste;2903904;Urbana;450,9;Regular;28,21534744;Básica;0,01;0;0;0;1
314;31353841;MG;Sudeste;3143302;Urbana;507,5;Regular;28,21647225;Básica;1;0;0;0,5;0,5
315;21275092;MA;Nordeste;2106607;Rural;523,8;Regular;28,26429009;Básica;0,67;0;0;0;1
316;15062520;PA;Norte;1506112;Rural;475;Regular;28,27800017;Básica;0,67;0;0,5;0;0,5
317;26110857;PE;Nordeste;2607901;Urbana;474,4;Regular;28,28163939;Básica;0,74;0;0;0,26;0,74
318;25050427;PB;Nordeste;2501351;Urbana;477,5;Regular;28,29687484;Básica;1;0;0;0,33;0,67
319;26075911;PE;Nordeste;2606002;Urbana;489,5;Regular;28,37903667;Básica;0,24;0;0;0,92;0,08
320;51190966;MT;CO;5108402;Rural;478,7;Regular;28,38581978;Básica;0,92;0;0,5;0,5;0
321;21272182;MA;Nordeste;2101608;Rural;398,5;Regular;28,395494;Básica;0,2;0;0;0;1
322;22140700;PI;Nordeste;2206357;Urbana;464,4;Regular;28,39959693;Básica;0,08;0;0;0;1
323;22143602;PI;Nordeste;2210003;Rural;447,9;Regular;28,40493953;Básica;0,33;0;0;1;0
324;22177604;PI;Nordeste;2208007;Urbana;407,4;EJA;28,45420192;Básica;0,8;0;0;0,5;0,5
325;29343160;BA;Nordeste;2927408;Urbana;470,5;Regular;28,4698249;Básica;0,45;0;0,29;0,71;0
326;21273251;MA;Nordeste;2109452;Urbana;497,3;EJA;28,47129994;Básica;0,33;0;0;0;1
327;41016084;PR;Sul;4106555;Urbana;487,8;Regular;28,48194574;Básica;0,32;0;0;1;0
328;22138420;PI;Nordeste;2211001;Urbana;456,8;Regular;28,50082998;Básica;1;0;0;0;1
329;52096254;GO;CO;5214051;Rural;477,3;Regular;28,50216031;Básica;0,5;0;0;0;1
330;35482473;SP;Sudeste;3518701;Urbana;423,2;Mediação;28,50374677;Básica;1;0;0;0,5;0,5
331;22161201;PI;Nordeste;2203305;Rural;486,1;Regular;28,51045519;Básica;0,67;0;0;0,5;0,5
332;12014915;AC;Norte;1200450;Rural;453,1;Regular;28,51362782;Básica;0,5;0;0;0;1
333;13041541;AM;Norte;1303007;Rural;425,1;Regular;28,51633678;Básica;0,83;0;0,1;0,6;0,3
334;13102508;AM;Norte;1301704;Rural;449,6;Indígena;28,5444913;Básica;0,83;0;0,1;0,6;0,3
335;32078595;ES;Sudeste;3203007;Urbana;491,9;Regular;28,5445524;Básica;0,33;0;0;1;0
336;25123998;PB;Nordeste;2504009;Rural;502,3;Regular;28,56775373;Básica;0,67;0;0;0,5;0,5
337;26053608;PE;Nordeste;2603801;Urbana;494,2;Regular;28,63075197;Básica;0,34;0;0;0,38;0,63
338;25110780;PB;Nordeste;2504157;Urbana;470,8;Regular;28,65427757;Básica;1;0;0;0;1
339;29024323;BA;Nordeste;2909901;Rural;470,1;Regular;28,67679672;Básica;0,1;0;0;0;1
340;29458994;BA;Nordeste;2918001;Urbana;469,3;Regular;28,69095564;Básica;0,12;0;0;0;1
341;15015564;PA;Norte;1506807;Urbana;452,2;EJA;28,69895868;Básica;0,8;0;0;0,27;0,73
342;21240744;MA;Nordeste;2111300;Rural;448,7;Regular;28,72132874;Básica;0,58;0;0;0;1
343;25043269;PB;Nordeste;2511400;Rural;508,5;Regular;28,74967935;Básica;0,5;0;0;0;1
344;31351067;MG;Sudeste;3120300;Rural;517,8;Profissionalizante;28,75749139;Básica;0,5;0;0;0,33;0,67
345;25095153;PB;Nordeste;2507507;Urbana;480,3;Regular;28,79443323;Básica;0,5;0;0;1;0
346;25151401;PB;Nordeste;2504009;Rural;489,1;Regular;28,82523447;Básica;1;0;0,23;0;0,77
347;26107945;PE;Nordeste;2603454;Urbana;493;Regular;28,84867542;Básica;0,78;0;0,32;0;0,68
348;22141570;PI;Nordeste;2207306;Rural;494,7;Profissionalizante;28,85470397;Básica;1;0;0;0;1
349;21260273;MA;Nordeste;2104081;Urbana;481;Regular;28,86164617;Básica;0,36;0;0;1;0
350;22137181;PI;Nordeste;2208403;Rural;456,5;Regular;28,87133432;Básica;1;0;0;0;1
351;16010493;AP;Norte;1600600;Rural;477,4;Regular;28,87963139;Básica;0,67;0;0;0,5;0,5
352;14000210;RR;Norte;1400308;Rural;488,1;Regular;28,90971916;Básica;0,67;0;0;0;1
353;21313202;MA;Nordeste;2110609;Rural;452;Regular;28,91191226;Básica;0,86;0;0,5;0;0,5
354;23025000;CE;Nordeste;2312908;Urbana;454;Profissionalizante;28,91785894;Básica;0,91;0;0,18;0,18;0,64
355;33072280;RJ;Sudeste;3304557;Urbana;440,9;Regular;28,91955553;Básica;0,68;0;0;0,46;0,54
356;15167747;PA;Norte;1505536;Urbana;474;Regular;28,92079322;Básica;0,21;0;0;0;1
357;24345300;RN;Nordeste;2412005;Urbana;439,4;Regular;28,93413556;Básica;1;0;0;0,33;0,67
358;21492298;MA;Nordeste;2103000;Rural;460,8;Regular;28,93440133;Básica;0,67;0;0;0;1
359;22021310;PI;Nordeste;2206308;Urbana;461,7;Regular;28,93490588;Básica;0,17;0;0;0;1
360;26124580;PE;Nordeste;2611606;Urbana;466,1;Regular;28,95224262;Básica;0,46;0;0;0,09;0,91
361;43107990;RS;Sul;4314902;Urbana;523,2;Regular;28,9591914;Básica;0,65;0;0;0;1
362;22122567;PI;Nordeste;2201929;Urbana;495,6;Regular;28,9673487;Básica;0,3;0;0;0;1
363;14001594;RR;Norte;1400100;Rural;552,6;Indígena;29,00492965;Básica;0,46;0;1;0;0
364;22149600;PI;Nordeste;2211100;Rural;454,6;Regular;29,0186975;Básica;0,67;0;0;0,5;0,5
365;22240608;PI;Nordeste;2209971;Rural;464,1;Profissionalizante;29,02459555;Básica;0,67;0;0;1;0
366;16005856;AP;Norte;1600402;Rural;465,8;Regular;29,03136666;Básica;1;0;0;1;0
367;52054101;GO;CO;5218102;Urbana;491;Regular;29,03231635;Básica;0,38;0;0;0,75;0,25
368;25153200;PB;Nordeste;2511103;Rural;462,7;Regular;29,07989126;Básica;0,5;0;1;0;0
369;29526604;BA;Nordeste;2911105;Urbana;470,7;Regular;29,0815886;Básica;0,35;0;0;0,39;0,61
370;33086427;RJ;Sudeste;3304557;Urbana;532;Regular;29,13582813;Básica;1;0;0,5;0;0,5
371;26111071;PE;Nordeste;2607901;Urbana;471,2;Regular;29,15122943;Básica;0,24;0;0;0,36;0,64
372;41389298;PR;Sul;4106209;Rural;509,7;Regular;29,16335057;Básica;0,67;0;0;1;0
373;52031454;GO;CO;5201405;Urbana;494,2;Regular;29,17965619;Básica;0,58;0;0;0;1
374;21326428;MA;Nordeste;2111748;Urbana;469,3;Regular;29,20471937;Básica;0,92;0;0,14;0,45;0,41
375;13045717;AM;Norte;1300706;Urbana;384,9;Regular;29,22715904;Básica;0,83;0;0,1;0,6;0,3
